time_ms,iso_utc,funding_rate_hourly,premium
1780725600032,2026-06-06T06:00:00.032000+00:00,-0.0000202358,-0.0006618867
1780729200001,2026-06-06T07:00:00.001000+00:00,-0.0000189416,-0.0006515327
1780732800036,2026-06-06T08:00:00.036000+00:00,-0.0000346323,-0.0007770581
1780736400036,2026-06-06T09:00:00.036000+00:00,0.000001367,-0.0004890639
1780740000063,2026-06-06T10:00:00.063000+00:00,0.0000125,-0.0003572525
1780743600048,2026-06-06T11:00:00.048000+00:00,0.0000125,-0.0002012978
1780747200046,2026-06-06T12:00:00.046000+00:00,0.0000125,-0.0003925866
1780750800048,2026-06-06T13:00:00.048000+00:00,0.0000020559,-0.000483553
1780754400030,2026-06-06T14:00:00.030000+00:00,0.0000104004,-0.0004167966
1780758000011,2026-06-06T15:00:00.011000+00:00,-0.0000027006,-0.0005216049
1780761600033,2026-06-06T16:00:00.033000+00:00,-0.0000013197,-0.0005105573
1780765200057,2026-06-06T17:00:00.057000+00:00,0.0000066201,-0.0004470395
1780768800049,2026-06-06T18:00:00.049000+00:00,0.0000125,-0.0001357021
1780772400038,2026-06-06T19:00:00.038000+00:00,0.0000125,-0.000267153
1780776000003,2026-06-06T20:00:00.003000+00:00,0.0000125,-0.0002688793
1780779600065,2026-06-06T21:00:00.065000+00:00,0.0000125,-0.0003775458
1780783200025,2026-06-06T22:00:00.025000+00:00,0.0000109466,-0.000412427
1780786800050,2026-06-06T23:00:00.050000+00:00,0.0000125,-0.0002819803
1780790400085,2026-06-07T00:00:00.085000+00:00,0.0000071032,-0.0004431742
1780794000004,2026-06-07T01:00:00.004000+00:00,0.0000125,-0.0003340873
1780797600006,2026-06-07T02:00:00.006000+00:00,0.0000078926,-0.0004368593
1780801200040,2026-06-07T03:00:00.040000+00:00,-0.0000040572,-0.0005324574
1780804800034,2026-06-07T04:00:00.034000+00:00,0.000005704,-0.0004543678
1780808400000,2026-06-07T05:00:00+00:00,0.0000125,-0.0002375702
1780812000055,2026-06-07T06:00:00.055000+00:00,0.0000125,-0.0000663177
1780815600034,2026-06-07T07:00:00.034000+00:00,0.0000125,-0.0002325836
1780819200059,2026-06-07T08:00:00.059000+00:00,0.0000125,-0.0003979517
1780822800063,2026-06-07T09:00:00.063000+00:00,0.0000099474,-0.000420421
1780826400024,2026-06-07T10:00:00.024000+00:00,0.0000125,-0.0002315169
1780830000042,2026-06-07T11:00:00.042000+00:00,0.0000125,-0.0002876467
1780833600010,2026-06-07T12:00:00.010000+00:00,-0.0000007862,-0.0005062893
1780837200027,2026-06-07T13:00:00.027000+00:00,0.0000125,-0.0003127228
1780840800030,2026-06-07T14:00:00.030000+00:00,-0.0000029805,-0.000523844
1780844400011,2026-06-07T15:00:00.011000+00:00,0.0000125,-0.0003092831
1780848000011,2026-06-07T16:00:00.011000+00:00,-0.0000042736,-0.000534189
1780851600053,2026-06-07T17:00:00.053000+00:00,0.0000125,-0.0003552747
