open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-10-07 19:00:00,62848.0,63468.72,62848.0,63382.0,1055.60592,2024-10-07 19:59:59.999,66756144.0034592,322644,538.60687,34057067.8911033
2024-10-07 20:00:00,63381.99,63410.0,62984.29,63020.0,457.18377,2024-10-07 20:59:59.999,28881022.6706193,104279,168.68193,10658273.2221343
2024-10-07 21:00:00,63020.0,63374.0,63002.29,63373.99,399.7213,2024-10-07 21:59:59.999,25276668.3157915,87025,239.88589,15169942.2223705
2024-10-07 22:00:00,63373.99,63374.0,62419.9,62471.08,1024.37163,2024-10-07 22:59:59.999,64377817.4328116,200868,354.52502,22291256.976694
2024-10-07 23:00:00,62471.08,62665.83,62128.0,62224.0,1359.66669,2024-10-07 23:59:59.999,84852287.5932664,287440,692.80275,43246338.0466605
2024-10-08 00:00:00,62224.01,62585.06,62156.02,62552.98,795.1617,2024-10-08 00:59:59.999,49596717.4172857,176595,469.03459,29257047.7569265
2024-10-08 01:00:00,62552.98,62737.84,62312.0,62630.01,699.78371,2024-10-08 01:59:59.999,43762996.8199732,164297,404.40903,25293353.8129027
2024-10-08 02:00:00,62630.01,62789.65,62419.9,62785.78,790.2519,2024-10-08 02:59:59.999,49469947.5545498,121179,400.30192,25060508.1806025
2024-10-08 03:00:00,62785.79,62820.0,62522.61,62629.8,473.99204,2024-10-08 03:59:59.999,29701909.6912349,97089,163.68752,10257984.1089943
2024-10-08 04:00:00,62629.8,62778.04,62533.56,62694.9,567.31828,2024-10-08 04:59:59.999,35556471.3712476,73709,264.55362,16587238.1824466
2024-10-08 05:00:00,62694.9,62723.69,62305.78,62517.35,719.31657,2024-10-08 05:59:59.999,44951930.8929458,125544,305.50545,19087135.6498764
2024-10-08 06:00:00,62517.35,62531.52,62200.0,62509.42,580.02424,2024-10-08 06:59:59.999,36179114.358,120901,214.49443,13379892.2652667
2024-10-08 07:00:00,62509.42,62509.42,62005.0,62319.99,722.21187,2024-10-08 07:59:59.999,44926480.5294764,142861,317.40391,19745302.3475244
2024-10-08 08:00:00,62319.99,62439.32,62193.63,62409.46,824.81768,2024-10-08 08:59:59.999,51414578.6981653,104342,390.93049,24372513.7780682
2024-10-08 09:00:00,62409.46,62590.0,62301.14,62537.38,524.50951,2024-10-08 09:59:59.999,32748275.6656788,99478,285.78386,17845629.9707364
2024-10-08 10:00:00,62537.37,62589.86,62410.82,62519.78,406.80723,2024-10-08 10:59:59.999,25430955.6090748,93604,199.01725,12441406.430839
2024-10-08 11:00:00,62519.77,62670.16,62471.24,62624.01,484.82065,2024-10-08 11:59:59.999,30340043.7806969,84742,301.53415,18873304.7700613
2024-10-08 12:00:00,62624.02,62670.0,62427.15,62440.0,463.54487,2024-10-08 12:59:59.999,28990649.9831519,100124,188.95994,11819888.6274476
2024-10-08 13:00:00,62440.01,63058.43,62326.52,63035.27,1568.71636,2024-10-08 13:59:59.999,98341104.2447466,309354,938.00314,58821589.6622487
2024-10-08 14:00:00,63035.27,63200.0,62157.46,62778.0,2396.82105,2024-10-08 14:59:59.999,150037392.5697382,450319,1091.08328,68297833.4384562
2024-10-08 15:00:00,62778.0,62850.24,61864.89,62288.01,2548.14024,2024-10-08 15:59:59.999,158936686.0372379,336509,1133.59712,70728375.8478212
2024-10-08 16:00:00,62288.01,62598.0,62023.42,62570.0,889.56934,2024-10-08 16:59:59.999,55438611.7806318,252108,480.18647,29933542.6203544
