arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w10,10.0,0.005012269623050569,pessimistic,8.32,2026-06,720.0,-831.7878407804455,-27.726261359348186,1388.238414493397,-1761.4448604022339,-84.86820177152515,-1847.113900254607,413.4211345940401,85.53324026747224,1.2464710866796012,55614.1006963308,696409.1185141433,1286,1286,1515594362.7199752,1507490104.4577837,1405872,0.0
always_in_w10,10.0,0.005012269623050569,pessimistic,8.32,2026-07,744.0,-528.7601560826593,-17.05677922847288,705.0331776195477,-1008.1765190331417,94.24660431373218,-913.720118964349,206.2776943121877,-94.40098448020461,3.7809554227701594,27855.157894514206,347200.6582195683,645,645,1169515005.6439705,1147627119.3473158,783542,0.0
always_in_w10,10.0,0.005012269623050569,pessimistic,8.32,2026-08,647.9938888888889,-301.5032451300986,-11.166892168582057,643.8176570548794,-745.0227011790698,145.08677283886368,-599.3448860144226,182.25334062388265,-145.59743116874722,2.8445235657769063,25204.048009257753,306550.2863702864,572,573,1145307968.0950828,1140593135.7850049,669715,0.0
always_in_w20,20.0,0.010049662092875389,optimistic,1.984,full,2855.9938888888887,-952.7260953610707,-8.006118772740578,1634.7622263933526,-2329.4976893801568,74.16753857625918,-2255.330150803904,265.5784068173677,-74.1675385756914,11.298249978318577,18701.99362791766,445039.34203175124,853,855,5444641880.1837435,5426928310.244635,3434112,0.0
always_in_w20,20.0,0.010049662092875389,optimistic,1.984,2026-05,744.0,-93.47920254175358,-3.01545814650818,255.00284015121073,-313.5021168682431,-47.89916751828025,-361.40128438652334,37.49608749557837,47.89916751849038,3.0852814650765534,2868.547350955291,62886.144511306215,119,120,1613244815.6209195,1611714037.4524512,574586,0.0
always_in_w20,20.0,0.010049662092875389,optimistic,1.984,2026-06,720.0,-355.5057349609013,-11.850191165363377,699.3586438551423,-943.9383596251305,-112.48954922060818,-1057.3888718639555,110.70690222842421,113.37175318335291,1.3308618662076241,7415.422244074683,185613.30209199677,355,355,1516574090.8237653,1514146512.7540598,1406269,0.0
always_in_w20,20.0,0.010049662092875389,optimistic,1.984,2026-07,744.0,-330.3033478666225,-10.65494670537492,356.8160621289614,-626.6958397137976,89.07115598060682,-538.1009026455395,63.43485231544404,-88.68592705885807,3.9300817674322945,4172.428141001064,106225.91137816489,205,205,1169515005.64397,1157284682.3248718,783542,0.0
always_in_w20,20.0,0.010049662092875389,optimistic,1.984,2026-08,647.9938888888889,-173.4378099917949,-6.423683172291181,323.58468025803415,-445.36137317298915,145.4850993345408,-298.4390919078834,53.94056477792092,-146.75253221867658,2.952024879602127,4245.595891886622,90313.98405028303,174,175,1145307968.095082,1143783077.7132518,669715,0.0
always_in_w20,20.0,0.010049662092875389,central,3.3586560000000003,full,2855.9938888888887,-955.2969761363286,-8.027722859096025,1634.7622263933526,-2329.4976893801568,74.16753857625918,-2255.330150803904,265.5784068173677,-74.1675385756914,11.298249978318577,18701.99362791766,445039.34203175124,853,855,5444641880.1837435,5426928310.244635,3434112,0.0
always_in_w20,20.0,0.010049662092875389,central,3.3586560000000003,2026-05,744.0,-93.87352912448107,-3.028178358854228,255.00284015121073,-313.5021168682431,-47.89916751828025,-361.40128438652334,37.49608749557837,47.89916751849038,3.0852814650765534,2868.547350955291,62886.144511306215,119,120,1613244815.6209195,1611714037.4524512,574586,0.0
