call_block_number,call_block_time,contract_address,output_feeProtocol,output_sqrtPriceX96,output_tick
23269385,2025-09-01 16:09:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5231965107899390538164610,-192516
23269390,2025-09-01 16:10:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232144798288055055036798,-192515
23269390,2025-09-01 16:10:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232144798288055055036798,-192515
23269390,2025-09-01 16:10:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232144798288055055036798,-192515
23269390,2025-09-01 16:10:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5231965107899390538164610,-192516
23269406,2025-09-01 16:13:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232242920644137762688894,-192515
23269423,2025-09-01 16:17:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232251386992595463104414,-192515
23269473,2025-09-01 16:27:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232224780024995209245538,-192515
23269505,2025-09-01 16:33:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232214204121677308881673,-192515
23269538,2025-09-01 16:40:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232214204121677308881673,-192515
23269634,2025-09-01 16:59:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5231926833929872745592323,-192516
23269697,2025-09-01 17:12:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5219155239173234779588680,-192565
23269706,2025-09-01 17:14:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5219133722443612719882720,-192565
23269710,2025-09-01 17:15:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5217129946596069746999185,-192573
23269732,2025-09-01 17:19:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5213938157916010199576687,-192585
23269749,2025-09-01 17:23:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5213926577167567033928184,-192585
23269749,2025-09-01 17:23:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5213926700897794169718695,-192585
23269769,2025-09-01 17:27:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5213926577167567033928184,-192585
23269771,2025-09-01 17:27:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5212317643434112106753682,-192591
23269801,2025-09-01 17:33:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209995418830890862052894,-192600
23269801,2025-09-01 17:33:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209996049806855279445045,-192600
23269855,2025-09-01 17:44:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209998893626520785682674,-192600
23269869,2025-09-01 17:47:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209998893626520785682674,-192600
23269881,2025-09-01 17:49:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209998893626520785682674,-192600
23269881,2025-09-01 17:49:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209998893626520785682674,-192600
23269928,2025-09-01 17:59:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209998893626520785682674,-192600
23269966,2025-09-01 18:06:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5209998893626520785682674,-192600
23270021,2025-09-01 18:17:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5213067946768689163379112,-192589
23270042,2025-09-01 18:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5215267974165791961723867,-192580
23270042,2025-09-01 18:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5215267974165791961723867,-192580
23270042,2025-09-01 18:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5215267974165791961723867,-192580
23270042,2025-09-01 18:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5215267974165791961723867,-192580
23270042,2025-09-01 18:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5215267974165791961723867,-192580
23270042,2025-09-01 18:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5215267974165791961723867,-192580
